     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          44.439;           3.671;           4.445;           4.213;           0.105 ( 2.489 %);  14487.026
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          35.232;           4.493;           4.558;           4.504;           0.011 ( 0.253 %);  13549.864
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          64.035;           3.659;           4.230;           3.859;           0.263 ( 6.804 %);  15814.576
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          63.202;           4.493;           4.647;           4.508;           0.026 ( 0.574 %);  13539.571
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         121.761;           4.119;           4.982;           4.155;           0.149 ( 3.578 %);  14690.104
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1772.211;           5.060;           5.137;           5.072;           0.013 ( 0.260 %);  12033.673
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          76.094;           4.214;           4.417;           4.229;           0.034 ( 0.807 %);  14431.183
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         180.190;           4.494;           4.536;           4.504;           0.008 ( 0.183 %);  13551.778
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          49.861;           3.670;           4.234;           4.197;           0.109 ( 2.601 %);  14543.513
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         320.455;           4.492;           4.650;           4.507;           0.026 ( 0.586 %);  13543.122
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          62.885;           3.664;           4.238;           4.197;           0.113 ( 2.697 %);  14542.778
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         761.915;           4.494;           4.537;           4.505;           0.008 ( 0.185 %);  13549.682
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         366.532;           3.661;           4.235;           4.164;           0.168 ( 4.040 %);  14658.672
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         110.496;           4.494;           4.552;           4.505;           0.010 ( 0.232 %);  13548.861
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
