     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         112.303;           3.662;           3.942;           3.687;           0.058 ( 1.572 %);  16555.648
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         125.117;           3.383;           3.442;           3.394;           0.010 ( 0.306 %);  17982.449
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          66.291;           3.562;           3.835;           3.586;           0.060 ( 1.662 %);  17019.538
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          54.048;           3.286;           3.352;           3.308;           0.011 ( 0.329 %);  18452.463
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          89.094;           3.562;           3.849;           3.587;           0.061 ( 1.696 %);  17017.093
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         215.287;           3.286;           3.352;           3.302;           0.011 ( 0.320 %);  18486.335
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         128.596;           3.571;           3.913;           3.590;           0.058 ( 1.621 %);  17001.293
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         106.813;           3.293;           3.449;           3.305;           0.026 ( 0.795 %);  18466.674
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          79.706;           3.662;           3.941;           3.685;           0.059 ( 1.603 %);  16561.093
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         169.874;           3.382;           3.428;           3.393;           0.008 ( 0.243 %);  17986.142
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          42.204;           4.118;           4.450;           4.146;           0.073 ( 1.772 %);  14720.488
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          55.305;           3.806;           3.869;           3.817;           0.011 ( 0.275 %);  15988.317
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         334.624;           3.662;           4.025;           3.707;           0.099 ( 2.681 %);  16463.493
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          46.183;           3.292;           3.340;           3.301;           0.008 ( 0.256 %);  18492.445
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          59.570;           4.119;           4.437;           4.146;           0.069 ( 1.668 %);  14719.735
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         103.331;           3.809;           3.863;           3.819;           0.010 ( 0.266 %);  15980.071
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         123.925;           3.565;           3.845;           3.589;           0.060 ( 1.673 %);  17008.471
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          69.154;           3.292;           3.355;           3.302;           0.011 ( 0.322 %);  18485.656
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         111.422;           3.562;           4.117;           3.603;           0.125 ( 3.472 %);  16941.946
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         350.714;           3.292;           3.358;           3.302;           0.011 ( 0.347 %);  18481.755
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          79.870;           3.563;           3.833;           3.586;           0.058 ( 1.627 %);  17020.401
