     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         145.771;           3.945;           4.163;           3.961;           0.037 ( 0.925 %);  15408.084
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        2323.167;           3.105;           3.391;           3.124;           0.049 ( 1.572 %);  19535.039
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         101.353;           3.939;           4.238;           3.957;           0.051 ( 1.280 %);  15422.714
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         110.953;           3.109;           3.394;           3.126;           0.049 ( 1.558 %);  19524.434
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          64.861;           3.836;           4.049;           3.851;           0.036 ( 0.934 %);  15849.545
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         122.607;           3.022;           3.293;           3.040;           0.046 ( 1.529 %);  20077.354
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         596.971;           3.833;           4.189;           3.852;           0.061 ( 1.577 %);  15843.187
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          84.913;           3.022;           3.296;           3.041;           0.052 ( 1.701 %);  20067.552
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         433.072;           3.939;           4.169;           3.956;           0.039 ( 0.978 %);  15428.384
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          63.261;           3.105;           3.384;           3.122;           0.047 ( 1.519 %);  19547.172
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         220.867;           3.941;           4.290;           3.959;           0.060 ( 1.506 %);  15415.513
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          73.580;           3.106;           3.390;           3.124;           0.049 ( 1.560 %);  19536.175
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         698.003;           3.945;           4.231;           3.963;           0.049 ( 1.224 %);  15402.900
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          45.669;           3.107;           3.385;           3.124;           0.048 ( 1.523 %);  19538.829
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        1734.798;           3.939;           4.255;           3.960;           0.054 ( 1.368 %);  15412.329
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          40.897;           3.107;           3.385;           3.127;           0.047 ( 1.514 %);  19517.812
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         228.034;           3.940;           4.243;           3.958;           0.052 ( 1.304 %);  15421.769
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          59.522;           3.106;           3.394;           3.123;           0.050 ( 1.585 %);  19541.293
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         141.327;           3.938;           4.234;           3.957;           0.050 ( 1.266 %);  15423.659
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          81.330;           3.106;           3.383;           3.124;           0.047 ( 1.509 %);  19540.156
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         156.745;           3.939;           4.341;           3.960;           0.069 ( 1.731 %);  15411.149
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         237.252;           3.106;           3.396;           3.124;           0.050 ( 1.590 %);  19539.587
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         158.074;           3.938;           4.171;           3.955;           0.039 ( 0.993 %);  15432.758
